year,index,metric,order,timeseries
1975,0.412,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1976,-0.238,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1977,0.660,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1978,-0.603,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1979,0.662,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1980,-0.062,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1981,0.467,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1982,-0.204,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1983,NA,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1984,0.252,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1985,0.426,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1986,-0.789,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1987,0.632,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1988,0.151,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1989,-0.336,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1990,-0.555,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1991,0.426,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1992,-0.470,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1993,-0.368,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1994,0.068,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1995,0.062,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1996,-0.330,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1997,-0.065,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1998,-0.759,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1999,0.348,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
2000,0.358,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
2001,0.650,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
2002,0.658,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
2003,0.137,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
2004,0.596,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
2005,-0.328,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
2006,-0.569,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
2007,-0.385,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
2008,-0.146,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
2009,-0.065,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
2010,0.483,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
2011,-0.095,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
2012,-0.147,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
2013,0.253,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
2014,0.350,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
2015,-0.142,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
2016,-0.503,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
2017,-0.225,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
2018,-0.253,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
2019,-0.598,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
2020,-0.080,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
2021,0.166,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
2022,-0.078,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
2023,-0.218,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
2024,-0.023,Productivity anomaly,4,Pigeon guillemot productivity anomaly (Cen CC - SEFI)
1986,-0.113,Productivity anomaly,5,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
1987,-0.151,Productivity anomaly,5,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
1988,0.349,Productivity anomaly,5,Rhinoceros auklet productivity anomaly (Ce CC - SEFI)
