"year","biomass","lwr95","upr95","log_est","se","timeseries","metric","metric2","max","index","index_upr95","index_lwr95"
2012,85397849.7105918,70683027.3792576,103176009.936056,18.2628314794089,0.0964892437877273,"Pacific grenadier","Biomass index","Total biomass (kg)",112024150.505585,0.762316423067491,0.921015776244714,0.630962404626614
2013,86135379.1950496,71285127.2542679,104079263.583425,18.271430793187,0.0965489799624765,"Pacific grenadier","Biomass index","Total biomass (kg)",112024150.505585,0.768900088117654,0.929078802326969,0.636337137416757
2014,85070088.8723337,70509723.9817271,102637191.185463,18.2589860496481,0.0957797510764413,"Pacific grenadier","Biomass index","Total biomass (kg)",112024150.505585,0.759390617901561,0.916205931687435,0.629415386445727
2015,81231420.8732566,67230464.227522,98148120.988088,18.2128126868507,0.0965199610077052,"Pacific grenadier","Biomass index","Total biomass (kg)",112024150.505585,0.725124185335436,0.87613358856218,0.600142593575572
2016,84321745.4937846,69857641.8512479,101780658.131271,18.2501503433707,0.096012122381741,"Pacific grenadier","Biomass index","Total biomass (kg)",112024150.505585,0.752710421040691,0.908559963828484,0.623594479725737
2017,84233215.7119025,69816735.6617448,101626559.333046,18.249099887313,0.0957750162109045,"Pacific grenadier","Biomass index","Total biomass (kg)",112024150.505585,0.751920146966015,0.907184378318311,0.623229324629104
2018,78732068.7090487,65165025.7851784,95123704.2956289,18.18156111081,0.0964954681128272,"Pacific grenadier","Biomass index","Total biomass (kg)",112024150.505585,0.702813351886328,0.849135689637624,0.581705154567805
2019,84936041.4054063,69477868.9649161,103833511.837615,18.2574090771649,0.102496908659672,"Pacific grenadier","Biomass index","Total biomass (kg)",112024150.505585,0.758194023539342,0.926885063345679,0.620204381388746
2021,80111834.1963594,65941247.5840055,97327639.5798989,18.1989341439017,0.0993178599302531,"Pacific grenadier","Biomass index","Total biomass (kg)",112024150.505585,0.715130030754979,0.868809441005728,0.588634212233709
2022,80958544.4470738,66449693.3284433,98635307.2630854,18.2094477846742,0.10076310493024,"Pacific grenadier","Biomass index","Total biomass (kg)",112024150.505585,0.72268831391886,0.880482528257761,0.593172927699465
2023,81513148.2485235,67091822.0429117,99034325.4224938,18.2162748934018,0.0993396703093293,"Pacific grenadier","Biomass index","Total biomass (kg)",112024150.505585,0.727639066046385,0.884044422345844,0.598904983792462
