time,month,time,index,SE,SElo,SEup,metric,timeseries,lat,lon,depth,order,year
1978,03,1978-03,29.542469024658203,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-03-15
1978,04,1978-04,88.844207763671875,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-04-15
1978,05,1978-05,116.53903198242188,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-05-15
1978,06,1978-06,147.34271240234375,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-06-15
1978,07,1978-07,133.85479736328125,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-07-15
1978,08,1978-08,106.53652954101562,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-08-15
1978,09,1978-09,61.88720703125,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-09-15
1978,10,1978-10,36.194129943847656,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-10-15
1978,11,1978-11,19.820287704467773,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-11-15
1978,12,1978-12,5.319399356842041,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-12-15
1979,01,1979-01,-21.65618133544922,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-01-15
1979,02,1979-02,42.70166015625,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-02-15
1979,03,1979-03,57.69241714477539,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-03-15
1979,04,1979-04,179.60067749023438,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-04-15
1979,05,1979-05,192.70632934570312,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-05-15
1979,06,1979-06,207.45814514160156,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-06-15
1979,07,1979-07,187.66275024414065,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-07-15
