time,index,timeseries,metric
1992-09-15T00:00:00Z,0.49,33N,"m^2 s^(-1)"
1992-09-15T00:00:00Z,0.899,39N,"m^2 s^(-1)"
1992-09-15T00:00:00Z,0.283,45N,"m^2 s^(-1)"
1992-10-15T00:00:00Z,0.376,33N,"m^2 s^(-1)"
1992-10-15T00:00:00Z,0.473,39N,"m^2 s^(-1)"
1992-10-15T00:00:00Z,0.139,45N,"m^2 s^(-1)"
1992-11-15T00:00:00Z,0.41,33N,"m^2 s^(-1)"
1992-11-15T00:00:00Z,0.468,39N,"m^2 s^(-1)"
1992-11-15T00:00:00Z,-0.073,45N,"m^2 s^(-1)"
1992-12-15T00:00:00Z,0.421,33N,"m^2 s^(-1)"
1992-12-15T00:00:00Z,0.447,39N,"m^2 s^(-1)"
1992-12-15T00:00:00Z,-0.036,45N,"m^2 s^(-1)"
1993-01-15T00:00:00Z,0.144,33N,"m^2 s^(-1)"
1993-01-15T00:00:00Z,-0.055,39N,"m^2 s^(-1)"
1993-01-15T00:00:00Z,-0.035,45N,"m^2 s^(-1)"
1993-02-15T00:00:00Z,0.142,33N,"m^2 s^(-1)"
1993-02-15T00:00:00Z,-0.135,39N,"m^2 s^(-1)"
1993-02-15T00:00:00Z,-0.039,45N,"m^2 s^(-1)"
1993-03-15T00:00:00Z,0.401,33N,"m^2 s^(-1)"
1993-03-15T00:00:00Z,0.334,39N,"m^2 s^(-1)"
1993-03-15T00:00:00Z,-0.259,45N,"m^2 s^(-1)"
1993-04-15T00:00:00Z,0.662,33N,"m^2 s^(-1)"
1993-04-15T00:00:00Z,1.036,39N,"m^2 s^(-1)"
1993-04-15T00:00:00Z,-0.468,45N,"m^2 s^(-1)"
1993-05-15T00:00:00Z,0.505,33N,"m^2 s^(-1)"
1993-05-15T00:00:00Z,0.189,39N,"m^2 s^(-1)"
1993-05-15T00:00:00Z,0.034,45N,"m^2 s^(-1)"
1993-06-15T00:00:00Z,0.356,33N,"m^2 s^(-1)"
1993-06-15T00:00:00Z,1.928,39N,"m^2 s^(-1)"
1993-06-15T00:00:00Z,0.369,45N,"m^2 s^(-1)"
1993-07-15T00:00:00Z,0.147,33N,"m^2 s^(-1)"
