Year,est,lwr,upr,log_est,se,spp
2018,15128985.3992715,8494660.85950594,26944713.0376294,16.5321230246443,0.294482265628931,shortbelly rockfish
2019,15204571.5260204,7758514.8882231,29796810.1654075,16.5371066988886,0.343274269698524,shortbelly rockfish
2021,14401277.7791284,8867079.41732567,23389527.9280322,16.4828274952712,0.247438965343274,shortbelly rockfish
2022,14191628.2359961,8344777.74316139,24135131.9576815,16.4681627878668,0.27093166551309,shortbelly rockfish
2023,11627001.5172022,6957114.14416878,19431500.1133524,16.2688406681403,0.262027955780709,shortbelly rockfish
2024,13471868.9511584,7728845.54344572,23482323.7205324,16.4161142879198,0.283497161397635,shortbelly rockfish
2003,138426288.685213,120828044.625645,158587664.465895,18.7458485302577,0.0693734973257197,shortspine thornyhead
2004,141185775.754607,123196374.237678,161802028.661763,18.7655871396672,0.0695405436021249,shortspine thornyhead
2005,145822686.480405,127843861.477421,166329893.720537,18.7979019654372,0.0671347644139058,shortspine thornyhead
2006,149702124.646752,131693801.414835,170172976.123287,18.8241580419862,0.0653930089215409,shortspine thornyhead
2007,137809554.946514,122115971.085445,155519980.439478,18.7413832533745,0.0616855822252912,shortspine thornyhead
2008,139572510.297454,122443080.573805,159098297.261401,18.7540948112617,0.0668063192513147,shortspine thornyhead
2009,139540748.664423,123045194.995291,158247711.652396,18.7538672216926,0.0641873717330125,shortspine thornyhead
2010,132698514.044762,117165298.909151,150291048.575243,18.7035903013857,0.063518511306843,shortspine thornyhead
2011,147318035.670944,129504649.625087,167581655.923351,18.8081043156954,0.0657547658078601,shortspine thornyhead
2012,145352522.566822,128391700.246237,164553906.335217,18.7946725399395,0.0633053635750846,shortspine thornyhead
2013,146783210.784458,128373753.145739,167832679.502132,18.8044672996509,0.0683741064306153,shortspine thornyhead
2014,142469520.321949,125799086.078159,161349059.468964,18.7746386423172,0.0634919855538282,shortspine thornyhead
2015,149985440.276265,132180240.708064,170189070.426564,18.8260487825245,0.0644765793931625,shortspine thornyhead
2016,151318557.603149,133874574.927874,171035507.581881,18.8348978255871,0.0624929411805692,shortspine thornyhead
2017,157272499.380711,138752812.846597,178264055.005515,18.8734905236323,0.0639225727956937,shortspine thornyhead
2018,156435376.712007,138357679.424345,176875090.626314,18.8681535543083,0.0626546127361996,shortspine thornyhead
