year,index,timeseries_original,timeseries,,
2017,1.943844,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981 and 2023,vess_rev_5k_fish_1981-2023,,
2018,1.96076,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981 and 2023,vess_rev_5k_fish_1981-2023,,
2019,1.971906,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981 and 2023,vess_rev_5k_fish_1981-2023,,
2020,1.895715,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981 and 2023,vess_rev_5k_fish_1981-2023,,
2021,1.829622,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981 and 2023,vess_rev_5k_fish_1981-2023,,
2022,1.87033,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981 and 2023,vess_rev_5k_fish_1981-2023,,
2023,1.740151,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981 and 2023,vess_rev_5k_fish_1981-2023,,
1981,1.862488,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981,vess_rev_5k_fish_1981,,
1982,1.866511,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981,vess_rev_5k_fish_1981,,
1983,1.842594,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981,vess_rev_5k_fish_1981,,
1984,1.968094,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981,vess_rev_5k_fish_1981,,
1985,1.863516,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981,vess_rev_5k_fish_1981,,
1986,1.856398,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981,vess_rev_5k_fish_1981,,
1987,1.907344,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981,vess_rev_5k_fish_1981,,
1988,2.020708,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981,vess_rev_5k_fish_1981,,
1989,1.79292,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981,vess_rev_5k_fish_1981,,
1990,1.948548,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981,vess_rev_5k_fish_1981,,
1991,1.978604,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981,vess_rev_5k_fish_1981,,
1992,1.973566,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981,vess_rev_5k_fish_1981,,
1993,2.007959,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981,vess_rev_5k_fish_1981,,
1994,2.008229,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981,vess_rev_5k_fish_1981,,
1995,1.939442,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981,vess_rev_5k_fish_1981,,
1996,1.85666,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981,vess_rev_5k_fish_1981,,
1997,1.940531,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981,vess_rev_5k_fish_1981,,
1998,1.92883,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981,vess_rev_5k_fish_1981,,
1999,1.809513,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981,vess_rev_5k_fish_1981,,
2000,1.878876,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981,vess_rev_5k_fish_1981,,
2001,1.928875,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981,vess_rev_5k_fish_1981,,
2002,1.852618,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981,vess_rev_5k_fish_1981,,
2003,1.802885,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981,vess_rev_5k_fish_1981,,
2004,1.823652,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981,vess_rev_5k_fish_1981,,
2005,1.814486,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981,vess_rev_5k_fish_1981,,
2006,1.846971,Annual ESI: vessels w/ avg. rev>$5K fishing in 1981,vess_rev_5k_fish_1981,,
